sentence,type
yes,Accept
i'm great 10-19-adultsUser32 ;),Statement
.ACTION winks @ 10-19-adultsUser28.,System
seriously?  i didnt think he would ever come back to TC,Statement
"You remember Jess, 10-19-adultsUser32?",ynQuestion
he came back..lol,Statement
"Yeah, he's back",Accept
great to hear 10-19-adultsUser16 ,Emotion
10-19-adultsUser35 who??,ynQuestion
He's nick is afe(numbers) or something like that.,Statement
PART,System
"10-19-adultsUser520, 10-19-adultsUser32. .LoL",Emotion
JOIN,System
JOIN,System
hi 10-19-adultsUser36,Greet
oh LOL   yeah typo there LOL   ummm yeah i remembah him ...  i remembah,Accept
hey pp,Greet
It was a typo =),Statement
wb 10-19-adultsUser36,Greet
NICK :10-19-adultsUser23,System
what a ride,Statement
JOIN,System
ty ty,Statement
cheers babes.. ur the first to follow up with the pseudo concern ;0,Statement
wb 10-19-adultsUser38,Greet
:),Emotion
I was shocked when he came in and called me by my name. .I was like wth. .who are you,Statement
 even,Continuer
ty 10-19-adultsUser34,Statement
yw,Statement
Im glad he's back.,Statement
awwww 10-19-adultsUser16  i like pseudo concernin  ~smirkZ~,Statement
lmao i was too 10-19-adultsUser35..i was like wtf r you?,Accept
ahhh 10-19-adultsUser23.....now i know you...lol,Statement
LoL,Emotion
lol 10-19-adultsUser36,Emotion
:),Emotion
lol 10-19-adultsUser35    yeah i still have him on messenger ,Statement
JOIN,System
JOIN,System
he said i used to op with u in FF i was like  huh who r you,Statement
"omg 10-19-adultsUser23 which color of lipstick do you think would look better on me the ""do me red"" or the ""pussy pink"" ",whQuestion
JOIN,System
lol,Emotion
lmao 10-19-adultsUser23,Emotion
hello all,Greet
pussy pink,Statement
Really? Wow. .I took him off a long time ago.,Statement
JOIN,System
PART,System
JOIN,System
I didnt think he would come back,Statement
i just broke up with my gf.(long term)..i started experimenting with myspace.com. i met this local girl. She brought her cousin over last night..they sucked me boned dry. all i had to provide was 49 dollars worth beer,Statement
PART,System
JOIN,System
rotflmao ,Emotion
hiya 10-19-adultsUser40,Greet
JOIN,System
10-19-adultsUser19,Statement
PART,System
JOIN,System
lmao,Emotion
10-19-adultsUser37 - Stop flooding the room hon,Reject
can i get an amen for myspace,ynQuestion
Hello lovelies,Greet
a,Other
alo,Greet
10-19-adultsUser36,Statement
.ACTION peeks in.,System
PART,System
JOIN,System
.ACTION pokes 10-19-adultsUser1.,System
JOIN,System
PART,System
what are you talking about 10-19-adultsUser35,whQuestion
JOIN,System
.ACTION pokes 10-19-adultsUser1.,System
PART,System
whoopZ  slipped,whQuestion
well then get Tina in here 10-19-adultsUser23,Statement
.ACTION be's poked.,System
ha ha ha 10-19-adultsUser23!!!,Emotion
wow...are you the 10-19-adultsUser39?,ynQuestion
Im talkin about all yer typin. .,Statement
It's me....in the flesh,Statement
hey everyone,Greet
pokes 10-19-adultsUser1 didn't want to b left out,Statement
lol,Emotion
lol,Emotion
I love your flesh,Statement
How cool are ya' 10-19-adultsUser41?,whQuestion
19/f/ca...asl??,whQuestion
why 10-19-adultsUser35...there r plently  ladies in here with pink pussies,Statement
it's nice....soft ,Statement
long time no see/type 10-19-adultsUser19....lmao,Statement
Break it up in sentences (single posts) instead of typin a paragraph =),Statement
sup 10-19-adultsUser42,Greet
put the dildo down 10-19-adultsUser23 & stop pokin ppl with it,Statement
It scrolls the room hon,Statement
about as cool as Pat Boone singing Metallica,Statement
too bad you are so far away,Statement
lmao 10-19-adultsUser35,Emotion
ooer 10-19-adultsUser1.. how r you darlin?,whQuestion
damn...10-19-adultsUser41....that's cool,Statement
i hate paragraphs,Statement
"10-19-adultsUser16.. I'm ok, how are you babe?",whQuestion
white shoes and all?,ynQuestion
they seem so long LOL,Statement
ahem,Statement
lol,Emotion
tired... I didn't sleep much last night,Statement
10-19-adultsUser28?,ynQuestion
not white shoes...bucks,Reject
HALO 10-19-adultsUser35..WTF ARE YOU TALKING ABOUT,whQuestion
10-19-adultsUser35?,ynQuestion
hows u 10-19-adultsUser36 ???,whQuestion
Awww @ 10-19-adultsUser1,Emotion
how r you 10-19-adultsUser32 dear?,whQuestion
10-19-adultsUser28 !!!!,Emphasis
"oh, sorry",Statement
hola 10-19-adultsUser1,Greet
guess you're not so cool,Statement
"What are you doin, 10-19-adultsUser28? Dang, yer so quiet.",whQuestion
well tell the bf to stop calling at 5am too 10-19-adultsUser1,Statement
you are so anal,Statement
PART,System
i'm good ....busy..very busy but good...you???,Statement
"Apparently, I'm not 10-19-adultsUser41",Statement
im good 10-19-adultsUser23 dear.   How are you 10-19-adultsUser23 ~winkZ~,whQuestion
10-19-adultsUser35... I love that 5 am phone call,Statement
im good...me and eric r back together,Statement
sry 10-19-adultsUser1 lol,Emotion
"10-19-adultsUser37 - Drop yer caps. And if you didnt get what I was talking about, dont worry about it =)",Statement
I'll take big barks over cool any day,Statement
oOo  congrats?? ,ynQuestion
LOL 10-19-adultsUser34,Emotion
yes!!!,yAnswer
diggin out the battery charger,Statement
\ty,Statement
LoL yeah,Accept
 ;-) ,Emotion
well i hope ur doing ok.. i'm dojn fine babe. .gonna rock up soojn and rob u of all ur 'candy' :),Statement
"as long as you are happy, I am happy.  You know i LuverZ YOU",Emphasis
im the same busy busy,Statement
oh ok then 10-19-adultsUser1 nm,Statement
lol,Emotion
obviously i didn't get it,Statement
aww i wubs you too,Statement
Ahh mkay.,Accept
is this moving too fast for ya?,ynQuestion
just loosen up babe,Statement
"Yes, 10-19-adultsUser37 - Obviously =)",Accept
10-19-adultsUser16... just get your butt out here and get it then :P,Statement
;),Emotion
any word from the doctor regarding the sores on your lip 10-19-adultsUser39?,ynQuestion
what do you need a battery charger for 10-19-adultsUser28?,whQuestion
"looks like it might be an ok day, I'm going to take the moped out for a ride",Statement
"I am, 10-19-adultsUser37.",Statement
JOIN,System
i kicked his ass last night 10-19-adultsUser32...  we had a spat now he love4s me.>LOL,Statement
"Oh, he said to use the cream.",Statement
LOL @ moped   ,Emotion
is that what you call your harley?,ynQuestion
as soon as i'm no longer a poor mf'er i will :),Statement
ok..i'm gone...again...cya later 10-19-adultsUser19 *waves*,Bye
the same cream you have for the genital warts?,ynQuestion
LoL,Emotion
moped 10-19-adultsUser28?..ohh ur a real  man,Statement
i had a moped once,Statement
yup,Accept
hehe 10-19-adultsUser16 :),Emotion
thats my moped,Statement
herpes is herpes babe,Statement
imma make fun of his moped now,Statement
you are a total fuddahnut 10-19-adultsUser28,Statement
u kicked his ass 10-19-adultsUser23 gees,Statement
JOIN,System
I know...I watch Dr. Drew,Statement
lol 10-19-adultsUser23... yer bedroom stories are hawT !!!    ,Emphasis
how many of you tried myspace for dating..i hate to promoter other sites..i hate yahoo but now there is alternatives..,Statement
Dr. Drew rocks,Statement
yup i kicked his ass,Accept
I have the only 10' long moped in town,Statement
lol,Emotion
I hit that,Statement
PART,System
I'd even,Statement
.ACTION has not tried myspace for dating.,System
JOIN,System
JOIN,System
damn,Emotion
10-19-adultsUser15..mopeds r for old men and gay  men right?,ynQuestion
.ACTION doesnt even have a myspace.,System
Wb 10-19-adultsUser46,Greet
((((((((((((((((((((( 10-19-adultsUser47 sis ))))))))))))))))))))),Emotion
.9(((((..13 10-19-adultsUser47 ..9))))),System
hola 10-19-adultsUser47,Greet
you'd hit Screach,Statement
10-19-adultsUser19 hugs,Emotion
hiya 10-19-adultsUser47 muahhhhh,Greet
yes 10-19-adultsUser27  imhave a fan on,Statement
10-19-adultsUser47 huuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuugZ,Emotion
(((((((((( 10-19-adultsUser1 sis )))))))))))))),Emotion
.ACTION stretches.,System
ty 10-19-adultsUser19,Statement
"Ugh, Im so sore!",Statement
"Repeatedly, with a big stick 10-19-adultsUser41",Statement
.ACTION smacks 10-19-adultsUser28 back online in msn.,System
(((((((((( 10-19-adultsUser35 ))))))))))))),Emotion
QQ at 10-19-adultsUser35 hm ya cold?,ynQuestion
lol,Emotion
lol,Emotion
(((((((((( 10-19-adultsUser28 ))))))))))))),Emotion
(((((((((( 10-19-adultsUser47 ))))))))))))))),Emotion
*pushes 10-19-adultsUser47..and runs..,Statement
"I am cold, yes. .Why?",yAnswer
big stick?   Is that a euphemism?,ynQuestion
10-19-adultsUser32 u cheating on me with 10-19-adultsUser28?..like OMG,ynQuestion
".ACTION puts 10-19-adultsUser35 in his ""leave alone"" book.",System
where are you from 10-19-adultsUser35,whQuestion
((((((((((( 10-19-adultsUser23 )))))))))))))),Emotion
.ACTION pounces 10-19-adultsUser47 and grabs the fish *wooooooooooooohoooooooooooooooo I got it I got it!!!!!*drops it* son of a .......,System
JOIN,System
when u streched i could tell,Statement
LOL 10-19-adultsUser36 !!!!!,Emotion
lol,Emotion
"Well, you know I'm a size queen 10-19-adultsUser41",Statement
Why 10-19-adultsUser45?,whQuestion
naw 10-19-adultsUser23 im cheating on you with Jayse ,nAnswer
hes hawt too,Emotion
lol,Emotion
LMAO Randy,Emotion
Uh huh,Accept
*hugs everyone...lol,Emotion
a queen anyway,Statement
anyone from TX,ynQuestion
wahoooooooski,Emotion
.wz 95953,System
.ACTION goes to look out the window to check the weather...,System
haha,Emotion
"www.Wunderground.com : .Live Oak, California (95953).  .(.39.3?N 121.7?W.).",System
".Observed at53 AM PDT on October 20, 2006 .Elev:. 59ft/18m",System
 .Current. 57?F/14?C .Wind. 55%,System
.ACTION is back.,System
(((((((( 10-19-adultsUser35 ))))))))))),Emotion
 .Dew Point. 30.00.in/1016.hPa  .Ceiling:. Unlimited,System
 .Record High. 41?F/5?C (1980),System
Wb 10-19-adultsUser30,Greet
why are you back,whQuestion
 .Sunrise21 AM PDT .Set20 PM PDT .Length. 2m 26s shorter,System
wb 10-19-adultsUser30 muahhh,Greet
.wz 99701,System
.ACTION goes to look out the window to check the weather...,System
thanks!!!,Statement
 .Advisory//www.wunderground.com/cgi-bin/findweather/getForecast?query=95953#FIR,System
(((((((( 10-19-adultsUser16 )))))))))),Emotion
"its in your profile, i respec that",Statement
"(end Live Oak, California (95953) weather)",System
"www.Wunderground.com : .Fairbanks, Alaska (99701).  .(.64.8?N 147.7?W.).",System
bc you want me Joshy,Statement
".ACTION says "" That'.",System
".Observed at55 AM AKDT on October 20, 2006 .Elev:. 453ft/138m",System
hiYas 10-19-adultsUser30,Greet
((((((((( 10-19-adultsUser32 ))))))))))),Emotion
 .Current. 27?F/-3?C .Wind. 93%,System
^t,Other
.ACTION sighs.,System
s nice,Statement
I dropped it again 10-19-adultsUser47,Statement
 .Dew Point. 29.88.in/1012.hPa  .Ceiling:. Unlimited,System
:P,Emotion
 .Sunrise59 AM AKDT .Set10 PM AKDT .Length. 6m 43s shorter,System
hi,Greet
pfft,Emotion
all,Greet
PART,System
"(end Fairbanks, Alaska (99701) weather)",System
sigh,Emotion
i am 20,Statement
boy,Statement
PART,System
from azerbaijan,Continuer
dang thats cold,Statement
man i syck,Statement
who wanna chatr,whQuestion
(((((((( neone i missed *10-19-adultsUser36 pushed me* ))))))))))),Statement
JOIN,System
10-19-adultsUser45,Statement
are you tere,ynQuestion
"I didnt say in my profile to leave me alone. I said not to PM me. You can talk to me out here, 10-19-adultsUser45",Reject
suck even :),Statement
"yup , gonna be a good riding day",Statement
omg it's horrible,Statement
yes i am here,yAnswer
ohhh 10-19-adultsUser542 sent me a comment,Statement
lol,Emotion
PART,System
I only talk the ppl I know already in my PM,Statement
like me,Statement
.wz 57401,System
.ACTION goes to look out the window to check the weather...,System
"www.Wunderground.com : .Aberdeen, South Dakota (57401).  .(.45.5?N 98.5?W.).",System
".Observed at27 AM CDT on October 20, 2006 .Elev:. 1299ft/396m",System
.ACTION smirkz and hits 10-19-adultsUser35 up in her pm .,System
 .Current. 36?F/2?C .Wind. 75%,System
maybe Bible chat would be better,Statement
 .Dew Point. 29?F/-2?C .Barometer. 1900ft/579m,System
brb..afk,Bye
no shit,Statement
 .Record High. 12?F/-11?C (1930),System
 .Sunrise56 AM CDT .Set39 PM CDT .Length. 3m 1s shorter,System
hb 10-19-adultsUser34,Bye
JOIN,System
LoL 10-19-adultsUser32. .You know yer on the list of ppl that I let PM me =),Statement
I only talk to da KoOL ppl - bahahahaa,Statement
Wb 10-19-adultsUser50 =),Greet
"(end Aberdeen, South Dakota (57401) weather)",System
i'd never leave you alone 10-19-adultsUser35.. if i had a choice :),Statement
LMAO 10-19-adultsUser47,Emotion
i can tell by the moaning ,Statement
?,ynQuestion
Werd,Statement
lol,Emotion
:),Emotion
PART,System
hiYas 10-19-adultsUser50,Greet
Rofl 10-19-adultsUser32,Emotion
hey 10-19-adultsUser35,Greet
sup  10-19-adultsUser37 ???????,whQuestion
hiya 10-19-adultsUser32,Greet
maybe we're too old,Statement
cya all....,Bye
or too smart?,ynQuestion
or too smart,yAnswer
lol,Emotion
tc 10-19-adultsUser36,Bye
lmao,Emotion
sea ya 10-19-adultsUser36!,Bye
yeah,Accept
well then 10-19-adultsUser47 wont talk to me if she only talks to the kool ppl cus I'm a retared moron,Statement
No such thing as being too smart =),Statement
lol,Emotion
i have a question for you...i am totaly straight but i have a strong attraction toward the lead singer of depeche mode..i want to do him..does that make me gay..he is gay,ynQuestion
chat rooms always make me feel superior,Statement
"Ugh, my b-day is in 5 days =(",Statement
PART,System
LOL 10-19-adultsUser35 no ur nawt,nAnswer
yup your gay,yAnswer
lmao 10-19-adultsUser37     dang   ,Emotion
come on back on tuesday,Statement
I would think that coexistence makes you feel superior,Statement
10-19-adultsUser37 - umm prolly,Statement
30 right 10-19-adultsUser35?,ynQuestion
LoL yeah,Accept
awww 10-19-adultsUser35  yer gonna be what?    57 right?,ynQuestion
lol,Emotion
your a guy too ?????,ynQuestion
omg lol 10-19-adultsUser50,Emotion
You know I was royalty in a past life,Statement
"Yes, 10-19-adultsUser32. .",yAnswer
LoL,Emotion
oh yea definitely,yAnswer
hah,Emotion
DING DING DING    imma winner,Emphasis
i want to make love to him,Statement
"Ima be 27 on Wednesday, 10-19-adultsUser32",Statement
coexistence?,ynQuestion
JOIN,System
LoL 10-19-adultsUser32,Emotion
then there is your asnwer,Statement
I've had enough,Statement
okay,Accept
we are the same age until muh birfday then =),Statement
mmmmk,Accept
its 30 10-19-adultsUser32 trust me lol,Statement
talk to you later...love you,Bye
hi all,Greet
let's get kicked,Statement
kiddin 10-19-adultsUser35 baby,Statement
lol i cant trust you  yet   i dunno you ,Statement
be offensive,Statement
lol,Emotion
Love you,Statement
it's weird thing..,Statement
JOIN,System
good policy,Statement
are you capab;e?,ynQuestion
"Oh, #### yeah",yAnswer
10-19-adultsUser3 op,System
:10-19-adultsUser3!10-19-adultsUser3@10-19-adultsUser3 MODE #talkcity_adults +o 10-19-adultsUser15,System
10-19-adultsUser15: What's your sign?,whQuestion
woof,Emotion
how many of you were attracted to the same sex,whQuestion
JOIN,System
"oh man, they just xxxed it",Statement
muh nose is cold,Statement
I love it when you take charge 10-19-adultsUser15,Statement
"not me, ever",Reject
smiles,Statement
sheesh,Emotion
were attracted or ARE attracted,ynQuestion
Hello,Greet
can't even get kicked ,Statement
.ACTION is hungry.,System
gets me all tingly n stuff,Statement
bye honey bunny,Bye
damn,Emotion
19/F/Wisconsin,Statement
ooeer is sum1 gonna ghet fuked up? :),ynQuestion
im always hungry,Statement
yeah 10-19-adultsUser45..i believe it ;),Accept
get^,Statement
lol 10-19-adultsUser16   keep up here,Statement
anyone wanna chat pvt me,ynQuestion
not even to brad pit 10-19-adultsUser45,ynQuestion
PART,System
.ACTION gives 10-19-adultsUser16 a skateboard to keep up wif us.,System
o no way he is a jerk,nAnswer
up in this biyatch? :),ynQuestion
PART,System
PART,System
lol,Emotion
"tom cruise,denzel..",Statement
10-19-adultsUser52 - Out here,Reject
?,Continuer
.4 Reminder: Do NOT PM others without first asking permission.,System
10-19-adultsUser35,Statement
im sorry 10-19-adultsUser35,Statement
i tried to refrain,Statement
me too 10-19-adultsUser35,Statement
"takes note, 10-19-adultsUser35",Statement
but your moanin just got to me,Statement
my dog did a no-no and he's hiding at the top of the stairs...lmao,Statement
i dunno.. my lingo is like 5 yrs behind,Statement
I thought you wanted to be the meat in a 10-19-adultsUser28 sammich,Statement
"Yes, 10-19-adultsUser53?",whQuestion
.ACTION fallz offa her chair laffin     hard!!.,System
:),Emotion
i really like ladies but some guys are to hot to pass by..it's about control i guess...and it doesn't help that i m european,Statement
omg 10-19-adultsUser28 !!!   whoaaaaaaaaaaaa,Emotion
who was that reminder to,whQuestion
"You too what, 10-19-adultsUser28? Hungry?",whQuestion
most of us cris-cross,Statement
"Everyone, 10-19-adultsUser53",Statement
Ask before you PM anyone.,Statement
*tosses 10-19-adultsUser16 a tootsie roll*,Statement
"oh c'mon 10-19-adultsUser32, tell me you weren't thinking the same thing",Statement
It's a room rule,Statement
most of us do NOT criss-cross,Reject
JOIN,System
well ....    ~blusherZ~,Emotion
is gonna make u jump jump? oh old school,ynQuestion
PART,System
10-19-adultsUser35; is freakin out,Statement
Ridin is not worth talkin to,Statement
no shes not,Reject
"10-19-adultsUser37 - Dood, yer gay, face it. .And if yer not gay then yer bi. You should be old enough to tell the difference already.",Statement
JOIN,System
hiYas 10-19-adultsUser55,Greet
.2******Welcome to all who just joined us!!!******.,Greet
I never freak out. .BUt I can if you want me to =),Reject
lol 10-19-adultsUser35   tell it like it is,Statement
hello,Greet
reallly,Emphasis
brrrrrrr,Emotion
LOL 10-19-adultsUser35,Emotion
wanna bet he likes Jeter and Rothlisburger?,ynQuestion
wb 10-19-adultsUser34,Greet
how do you know 10-19-adultsUser35,whQuestion
tell him how u really feel 10-19-adultsUser35 ;),Emotion
ty 10-19-adultsUser32 muahhh,Statement
hahah 10-19-adultsUser28,Emotion
may I??,ynQuestion
every day is tuesday in his world,Statement
anyone wanna chat,ynQuestion
"i dont like you 10-19-adultsUser28, go play with your meat",Reject
.ACTION huh?....someone dissing my Ben agaibn....haters!!!.,System
hi,Greet
Oh my 10-19-adultsUser15. .LoL,Emotion
too late 10-19-adultsUser15,Statement
hello 10-19-adultsUser53,Greet
agaibn?,ynQuestion
.ACTION listenin to Evanescence - Lithium.,System
lmao,Emotion
may I??,ynQuestion
lol your done with it?,ynQuestion
.ACTION pounces on 10-19-adultsUser23 ans wiggleZ all around.,System
;-),Emotion
"not quite, wanna call me a few more names?",ynQuestion
.ACTION touches 10-19-adultsUser32s weenis.,System
dam dont sexcite me like that 10-19-adultsUser32,Reject
lmao,Emotion
.ACTION moanz LOUD.,System
.ACTION is listening to .Nickelback - Figured You Out. ...,System
u need paper twoel?,ynQuestion
LOL 10-19-adultsUser23 ,Emotion
lol,Emotion
lol towel even,Clarify
JOIN,System
no I can hit the sink from here,nAnswer
hiya 10-19-adultsUser56 ,Greet
PART,System
dang,Emotion
LOL 10-19-adultsUser28,Emotion
.ACTION calls 10-19-adultsUser28 some names. .Spank me!.,System
o_0,Emotion
you know 10-19-adultsUser23   you should look at my msn myspace there and check out the weenis board I put up,Statement
"ok, make that the wall",Statement
ty 10-19-adultsUser35,Statement
LOL,Emotion
PART,System
ohhh 10-19-adultsUser32..imma go look,Statement
LoL yep!,Emotion
just bend over 10-19-adultsUser35 i will,Statement
lol ,Emotion
lmao,Emotion
your poor wall,Statement
JOIN,System
JOIN,System
JOIN,System
nickelback......... gay :),Statement
.2******Welcome to all who just joined us!!!******.,Statement
yeah check out schmoopies butt too while your at it    its FINE!!,Emphasis
hiYas 10-19-adultsUser58,Greet
10-19-adultsUser16  they r not gay,Reject
they are not,Reject
hiYas 10-19-adultsUser57,Greet
10-19-adultsUser16!,Statement
PART,System
argh,Emotion
hi everyone,Greet
.ACTION sings fart away.,System
 oops far,Clarify
omg,Emotion
lmao,Emotion
lol,Emotion
lol,Emotion
JOIN,System
gawd,Emotion
*shakes head*,Statement
i'm just kidding top keep popular opinion :),Statement
<empty>,Other
hiya 10-19-adultsUser51 ,Greet
.ACTION is contemplating a nap.,System
nickleback? gay? ok if they aren't they sure as hell are thinking about it,whQuestion
to^,Statement
]:),Emotion
you hafta eat first 10-19-adultsUser35,Statement
heyyyy,Greet
PART,System
and 10-19-adultsUser28 suggested a sammich,Continuer
haha,Emotion
JOIN,System
PART,System
sings... i loved you all along,Statement
hiYas 10-19-adultsUser59,Greet
pfft i dun care if they are gay or not..i'd do the lead singer :P,Statement
"oh yeah, 10-19-adultsUser32 the sammich",Statement
lol 10-19-adultsUser47,Emotion
hey,Greet
lol,Emotion
lol 10-19-adultsUser47,Emotion
c'mear 10-19-adultsUser35,Statement
far away is my and erics song,Statement
anyone seen sweetshybbw??,ynQuestion
lol 10-19-adultsUser47   stand yer ground woman!!!,Statement
i just saw shaun of the dead.. so = gaaaaaaay = quite funny,Statement
.ACTION cums to 10-19-adultsUser28. .LMAO.,System
LOL,Emotion
PART,System
:),Emotion
PART,System
.ACTION faints.,System
LoL,Emotion
lol 10-19-adultsUser16 thats a good movie,Statement
"whoa, now that was some blood loss",Statement
  yawns......,Emotion
funny :),Emotion
i saw the break up....awesome movie,Statement
.ACTION sits on 10-19-adultsUser28. .You needed me?.,System
"I still need to see that, 10-19-adultsUser23",Statement
You liked it?,ynQuestion
geeZe a 10-19-adultsUser28 sammich with one limp piece of bread,Statement
i wanna rent over the hedge lol,Statement
i liked it..soo funny,Statement
thats officer limp piece of bread 10-19-adultsUser28,Statement
"Have you seen 10-19-adultsUser30, 10-19-adultsUser23?",ynQuestion
lol 10-19-adultsUser47,Emotion
whats up everybody?????,whQuestion
whoopZ   sowwy ,Statement
lol,Emotion
yes 10-19-adultsUser35..at the drive in,yAnswer
is 10-19-adultsUser30 any good?????,ynQuestion
.ACTION loves men in uniform.,System
yes 10-19-adultsUser59 it is,yAnswer
Drive in? I havent been to one of those since I was a kid,Statement
omg i cant wait til cars come out..im gonna buy it..aqwesome movie,Statement
NICK :10-19-adultsUser32,System
.ACTION loves men out of uniform.,System
i never saw cars,Statement
im out of uniform 10-19-adultsUser15,Statement
lol,Emotion
"LoL 10-19-adultsUser15. .Yeah, that too.",Accept
nick 10-19-adultsUser28,Statement
lol 10-19-adultsUser28,Emotion
i  love ben  in and out of his uniform,Statement
NICK :10-19-adultsUser28,System
you just love Ben   IN AND OUT,Statement
JOIN,System
lmao,Emotion
.ACTION is listening to .Rascal Flatts - Life Is a Highway. ...,System
hiya 10-19-adultsUser60 ,Greet
i love me in my hubbys uniform hehehee,Statement
JOIN,System
lol 10-19-adultsUser47,Emotion
hiya 10-19-adultsUser61 ,Greet
hiYas 10-19-adultsUser61,Greet
wb 10-19-adultsUser61,Greet
teehee,Statement
PART,System
Hi all,Greet
any ladies wanna chat?,ynQuestion
NICK :10-19-adultsUser32,System
pm me,Statement
PART,System
im so nodda lady,Statement
NICK :10-19-adultsUser28,System
 How are is everything,whQuestion
i like wearin his boots :),Statement
that leaves me out,Statement
oOo,Statement
who 10-19-adultsUser59 Me?,whQuestion
.ACTION is bored. Damn..,System
anybody,Statement
.ACTION stretches.,System
pm me,Statement
me too 10-19-adultsUser35,Statement
me 3,Statement
!hug 10-19-adultsUser35,System
.ACTION watches 10-19-adultsUser28 wrap there arm around 10-19-adultsUser35 and give them a big ol' hug..,System
NICK :10-19-adultsUser32,System
i need coffee bbl,Statement
you should be othah halfa,Statement
PART,System
bye 10-19-adultsUser47,Bye
PART,System
PART,System
she left real fast,Statement
JOIN,System
hiYas 10-19-adultsUser62,Greet
hey there 10-19-adultsUser32,Greet
JOIN,System
how are you,whQuestion
NICK :10-19-adultsUser35,System
im good thanks and yerself?,ynQuestion
JOIN,System
NICK :10-19-adultsUser28,System
no no no 10-19-adultsUser35  you were tha fillin,Reject
NICK :10-19-adultsUser32,System
not so bad thanks,Statement
PART,System
I cant be the fillin,Reject
yawnssss......,Emotion
You have to be it,Reject
good to hear  and yer welcome,Statement
how do you change your name?,whQuestion
PART,System
nut uh    you were tha fillin in the 10-19-adultsUser28 sammich,Reject
tc 10-24-40sUser9,Bye
"Tell me why after all this time ,do you hide ,,do I see you as a sweet surprise ,,,",Statement
hi 10-24-40sUser8,Greet
omg!   I bet u were upset 10-24-40sUser28!,Emphasis
yikes 10-24-40sUser28,Emotion
howdy 10-24-40sUser8,Greet
hi 10-24-40sUser8,Greet
his PM's............. 10-24-40sUser10.....>LOL,Statement
"brb, phone again, where is 10-24-40sUser26, he is supposed to answer it",Bye
oh okikes,Statement
just kidding,Statement
JOIN,System
PART,System
hi 10-24-40sUser30,Greet
"my kids had a party once, one kid almost went into my china closet",Statement
ok 10-24-40sUser12,Accept
 ;-) ,Emotion
"Talk to me ,tell me true ,what do you want to do ,,Do we go on, one by one ,,,",Statement
gtg...lunch break is over,Bye
okey dokey back to worl,Statement
PART,System
JOIN,System
bye 10-24-40sUser11,Bye
howdy 10-24-40sUser31,Greet
bye 10-24-40sUser11,Bye
see yah 10-24-40sUser11 ..have a good day ,Bye
no   the police were fantastic and all injureis  either in full casts or half casts,Reject
"awrighty 10-24-40sUser19  , lets get the next rumour started",Statement
ohh 10-24-40sUser24 is romantic today,Statement
hi 10-24-40sUser31,Greet
huggs 10-24-40sUser16; 10-24-40sUser21; everyone,Statement
"I'm out now, got costumes to shop for!",Emphasis
"I am hanging on to your words, your love ,,,so cmon ,make me like water to your tongue ,,,",Statement
JOIN,System
JOIN,System
(((10-24-40sUser11))),Emotion
"ok 10-24-40sUser12, I not worry for the rumours",Accept
Don't drink and drive!  Smoochies everyone!!,Bye
howdy 10-24-40sUser32,Greet
PART,System
howdy 10-24-40sUser33,Greet
JOIN,System
me either ,Statement
hiya 10-24-40sUser33,Greet
back,Greet
"I need you to heal my soul ,Hold me now ,see by me ,,",Statement
PART,System
"wow, i come in and everyone leaves, is it me ?? *grins* ",Statement
howdy 10-24-40sUser34,Greet
PART,System
((((((((((((((((((((10-24-40sUser34))))))))))))))))))),Emotion
Hi 10-24-40sUser33,Greet
hi 10-24-40sUser16,Greet
hiiii 10-24-40sUser34,Greet
"10-24-40sUser26, answer the phone",Statement
hiya 10-24-40sUser34,Greet
.ACTION waves hi to room.,System
hi 10-24-40sUser19,Greet
((((((((((((((((((10-24-40sUser33))))))))))))))))))),Emotion
.ACTION  smiles .,System
hi 10-24-40sUser34,Greet
hi 10-24-40sUser14 hugss,Greet
hey 10-24-40sUser34!,Greet
hi 10-24-40sUser20,Greet
Hiya 10-24-40sUser12,Greet
hiya 10-24-40sUser33 !!!,Greet
hi 10-24-40sUser33 hugs ,Greet
JOIN,System
10-24-40sUser33 hiiii,Greet
"10-24-40sUser26 10-24-40sUser26 man, where has the 10-24-40sUser26 man gone?",Statement
hi 10-24-40sUser35,Greet
"hi 10-24-40sUser16, hi 10-24-40sUser14",Greet
howdy 10-24-40sUser35,Greet
hiiii 10-24-40sUser35,Greet
hi 10-24-40sUser34,Greet
PART,System
"cant help but bug him, lol",Statement
hey 10-24-40sUser19,Greet
lol i think of macho man i think of the village people lol ,Statement
(((((((((((((((((10-24-40sUser35))))))))))))))))))))),Emotion
Hi 10-24-40sUser35,Greet
:) Hi 10-24-40sUser20,Greet
"lmao, 10-24-40sUser21",Emotion
lol 10-24-40sUser21  me too,Accept
((((((((((10-24-40sUser12))))))))))))) bar fighter ,Statement
hehehehe 10-24-40sUser21,Emotion
lol,Emotion
hi 10-24-40sUser20,Greet
"10-24-40sUser24, good to see ya",Statement
lol ,Emotion
.ACTION dont thank of men.....magine that lol.,System
Hey Daveeee coonarsee,Greet
hi 10-24-40sUser16,Greet
PART,System
"Heyyy ((((((( 10-24-40sUser33 )))))))) ty ty and hugs ,,",Statement
rainbow,Statement
ditto (((10-24-40sUser21)))),Accept
but can you tell if a man is good looking or not 10-24-40sUser16 ?,ynQuestion
.ACTION peeks in and says some hellos.,System
got da pics 10-24-40sUser12 ..awesome,Statement
hey 10-24-40sUser27,Greet
